dataset,category,run,stroke_count,num_svg_strokes,num_disconnected_strokes,disconnected_stroke_ratio,disconnected_stroke_percentage,num_disconnected_endpoints,disconnected_endpoint_ratio,threshold,samples_per_curve,svg_path
SDXL_normal,fish_5,normal_16_strokes,16,16,9,0.5625,56.25,12,0.375,10.0,100,SDXL_normal/fish_5/normal_16_strokes/final_svg.svg
SDXL_normal,fish_5,normal_24_strokes,24,24,12,0.5,50.0,20,0.4166666666666667,10.0,100,SDXL_normal/fish_5/normal_24_strokes/final_svg.svg
SDXL_normal,fish_5,normal_32_strokes,32,32,14,0.4375,43.75,17,0.265625,10.0,100,SDXL_normal/fish_5/normal_32_strokes/final_svg.svg
SDXL_normal,fish_9,normal_16_strokes,16,16,9,0.5625,56.25,13,0.40625,10.0,100,SDXL_normal/fish_9/normal_16_strokes/final_svg.svg
SDXL_normal,fish_9,normal_24_strokes,24,24,10,0.4166666666666667,41.66666666666667,13,0.2708333333333333,10.0,100,SDXL_normal/fish_9/normal_24_strokes/final_svg.svg
SDXL_normal,fish_9,normal_32_strokes,32,32,12,0.375,37.5,14,0.21875,10.0,100,SDXL_normal/fish_9/normal_32_strokes/final_svg.svg
SDXL_normal,flower_0,normal_16_strokes,16,16,16,1.0,100.0,27,0.84375,10.0,100,SDXL_normal/flower_0/normal_16_strokes/final_svg.svg
SDXL_normal,flower_0,normal_24_strokes,24,24,23,0.9583333333333334,95.83333333333334,34,0.7083333333333334,10.0,100,SDXL_normal/flower_0/normal_24_strokes/final_svg.svg
SDXL_normal,flower_0,normal_32_strokes,32,32,26,0.8125,81.25,41,0.640625,10.0,100,SDXL_normal/flower_0/normal_32_strokes/final_svg.svg
SDXL_normal,flower_1,normal_16_strokes,16,16,16,1.0,100.0,25,0.78125,10.0,100,SDXL_normal/flower_1/normal_16_strokes/final_svg.svg
SDXL_normal,flower_1,normal_24_strokes,24,24,21,0.875,87.5,31,0.6458333333333334,10.0,100,SDXL_normal/flower_1/normal_24_strokes/final_svg.svg
SDXL_normal,flower_1,normal_32_strokes,32,32,26,0.8125,81.25,32,0.5,10.0,100,SDXL_normal/flower_1/normal_32_strokes/final_svg.svg
