dataset,category,run,stroke_count,num_svg_strokes,num_disconnected_strokes,disconnected_stroke_ratio,disconnected_stroke_percentage,num_disconnected_endpoints,disconnected_endpoint_ratio,threshold,samples_per_curve,svg_path
SDXL_normal,fish_10,normal_16_strokes,16,16,8,0.5,50.0,10,0.3125,30.0,100,SDXL_normal/fish_10/normal_16_strokes/final_svg.svg
SDXL_normal,fish_10,normal_24_strokes,24,24,4,0.16666666666666666,16.666666666666664,5,0.10416666666666667,30.0,100,SDXL_normal/fish_10/normal_24_strokes/final_svg.svg
SDXL_normal,fish_10,normal_32_strokes,32,32,7,0.21875,21.875,7,0.109375,30.0,100,SDXL_normal/fish_10/normal_32_strokes/final_svg.svg
SDXL_normal,fish_12,normal_16_strokes,16,16,4,0.25,25.0,5,0.15625,30.0,100,SDXL_normal/fish_12/normal_16_strokes/final_svg.svg
SDXL_normal,fish_12,normal_24_strokes,24,24,6,0.25,25.0,7,0.14583333333333334,30.0,100,SDXL_normal/fish_12/normal_24_strokes/final_svg.svg
SDXL_normal,fish_12,normal_32_strokes,32,32,4,0.125,12.5,4,0.0625,30.0,100,SDXL_normal/fish_12/normal_32_strokes/final_svg.svg
SDXL_normal,fish_13,normal_16_strokes,16,16,7,0.4375,43.75,7,0.21875,30.0,100,SDXL_normal/fish_13/normal_16_strokes/final_svg.svg
SDXL_normal,fish_13,normal_24_strokes,24,24,6,0.25,25.0,7,0.14583333333333334,30.0,100,SDXL_normal/fish_13/normal_24_strokes/final_svg.svg
SDXL_normal,fish_13,normal_32_strokes,32,32,4,0.125,12.5,4,0.0625,30.0,100,SDXL_normal/fish_13/normal_32_strokes/final_svg.svg
SDXL_normal,fish_5,normal_16_strokes,16,16,7,0.4375,43.75,8,0.25,30.0,100,SDXL_normal/fish_5/normal_16_strokes/final_svg.svg
SDXL_normal,fish_5,normal_24_strokes,24,24,5,0.20833333333333334,20.833333333333336,9,0.1875,30.0,100,SDXL_normal/fish_5/normal_24_strokes/final_svg.svg
SDXL_normal,fish_5,normal_32_strokes,32,32,5,0.15625,15.625,5,0.078125,30.0,100,SDXL_normal/fish_5/normal_32_strokes/final_svg.svg
SDXL_normal,fish_9,normal_16_strokes,16,16,7,0.4375,43.75,10,0.3125,30.0,100,SDXL_normal/fish_9/normal_16_strokes/final_svg.svg
SDXL_normal,fish_9,normal_24_strokes,24,24,3,0.125,12.5,3,0.0625,30.0,100,SDXL_normal/fish_9/normal_24_strokes/final_svg.svg
SDXL_normal,fish_9,normal_32_strokes,32,32,5,0.15625,15.625,5,0.078125,30.0,100,SDXL_normal/fish_9/normal_32_strokes/final_svg.svg
SDXL_normal,flower_0,normal_16_strokes,16,16,12,0.75,75.0,15,0.46875,30.0,100,SDXL_normal/flower_0/normal_16_strokes/final_svg.svg
SDXL_normal,flower_0,normal_24_strokes,24,24,12,0.5,50.0,15,0.3125,30.0,100,SDXL_normal/flower_0/normal_24_strokes/final_svg.svg
SDXL_normal,flower_0,normal_32_strokes,32,32,8,0.25,25.0,10,0.15625,30.0,100,SDXL_normal/flower_0/normal_32_strokes/final_svg.svg
SDXL_normal,flower_1,normal_16_strokes,16,16,9,0.5625,56.25,9,0.28125,30.0,100,SDXL_normal/flower_1/normal_16_strokes/final_svg.svg
SDXL_normal,flower_1,normal_24_strokes,24,24,6,0.25,25.0,7,0.14583333333333334,30.0,100,SDXL_normal/flower_1/normal_24_strokes/final_svg.svg
